age,sex,NHANES,race_f,type,n,Mean,SD,LB,25%,50%,75%,UB,Rhat,n.eff,Parameters,prev_fit,LB_scl,UB_scl,NHANES_year
64,Male,1988-1994,Other Hispanic,Force of Infection (λ),793,0.00879583988198844,0.00295170519596469,0.00533952695385571,0.0060682109720942,0.00735886189219224,0.0116202779602292,0.0136455000545105,8.19419552178558,2,"lhat[65,1,1,3]",0.879583988198844,0.533952695385571,1.36455000545105,1991
65,Male,1988-1994,Other Hispanic,Force of Infection (λ),794,0.00854892752140427,0.00292088930815606,0.0051301953396912,0.00585886549553873,0.00711477287435504,0.0113313492494514,0.0133879285487293,8.08051004931585,2,"lhat[66,1,1,3]",0.854892752140427,0.51301953396912,1.33879285487293,1991
66,Male,1988-1994,Other Hispanic,Force of Infection (λ),795,0.00830715309122904,0.00288866561197519,0.0049285826460795,0.00565675946713185,0.00687711511323385,0.0110464344980908,0.0131318457621412,7.97227292800838,2,"lhat[67,1,1,3]",0.830715309122903,0.49285826460795,1.31318457621412,1991
67,Male,1988-1994,Other Hispanic,Force of Infection (λ),796,0.00807050733975637,0.00285512995046895,0.00473459119868122,0.0054577415095527,0.00664583000480465,0.0107656379839448,0.0128773734452125,7.86909568441243,2,"lhat[68,1,1,3]",0.807050733975637,0.473459119868122,1.28773734452125,1991
68,Male,1988-1994,Other Hispanic,Force of Infection (λ),797,0.00783897508421767,0.00282037709819904,0.00454614428176625,0.00526520645913378,0.00642085158193145,0.0104900834839213,0.0126246437773188,7.77062589997321,2,"lhat[69,1,1,3]",0.783897508421767,0.454614428176625,1.26246437773188,1991
69,Male,1988-1994,Other Hispanic,Force of Infection (λ),798,0.00761253550291731,0.00278450049650857,0.0043649773507431,0.00507910653749468,0.00620210707636596,0.0102164731171555,0.0123738029165265,7.67654320364766,2,"lhat[70,1,1,3]",0.761253550291731,0.43649773507431,1.23738029165265,1991
70,Male,1988-1994,Other Hispanic,Force of Infection (λ),799,0.00739116242776725,0.00274759201203456,0.00419118352758115,0.00489600348599502,0.00598951747221595,0.00994655404665869,0.0121249159809406,7.58655577125626,2,"lhat[71,1,1,3]",0.739116242776725,0.419118352758115,1.21249159809406,1991
71,Male,1988-1994,Other Hispanic,Force of Infection (λ),800,0.00717482463611142,0.00270974171807457,0.00402398704164321,0.00471779500672565,0.00578299804848266,0.00968542487942396,0.0118820845467412,7.50039726098026,2,"lhat[72,1,1,3]",0.717482463611142,0.402398704164321,1.18820845467412,1991
72,Male,1988-1994,Other Hispanic,Force of Infection (λ),801,0.00696348614081447,0.00267103769829552,0.00386282623788568,0.00454776345527515,0.00558245890854705,0.00942648935935834,0.0116418094711069,7.41782412495854,2,"lhat[73,1,1,3]",0.696348614081447,0.386282623788568,1.16418094711069,1991
73,Male,1988-1994,Other Hispanic,Force of Infection (λ),802,0.00675710647767355,0.00263156587216823,0.00370638248629266,0.00438449804117399,0.00538780549475756,0.00917212198604436,0.0114036999880952,7.33861324584502,2,"lhat[74,1,1,3]",0.675710647767355,0.370638248629266,1.14036999880952,1991
74,Male,1988-1994,Other Hispanic,Force of Infection (λ),803,0.0065556409892932,0.00259140984141864,0.00355558358907036,0.00422389464129173,0.00519893908653561,0.00892904928238706,0.0111678350081164,7.26255985471109,2,"lhat[75,1,1,3]",0.655564098929319,0.355558358907036,1.11678350081164,1991
75,Male,1988-1994,Other Hispanic,Force of Infection (λ),804,0.00635904110464154,0.00255065075670982,0.00341039756174213,0.00406985360356811,0.00501575728066775,0.00869093052562066,0.010934281713426,7.18947569303232,2,"lhat[76,1,1,3]",0.635904110464154,0.341039756174213,1.0934281713426,1991
76,Male,1988-1994,Other Hispanic,Force of Infection (λ),805,0.0061672546135826,0.0025093672037042,0.00327066079009049,0.00391898581320097,0.00483815445269216,0.0084534737668744,0.010703125440726,7.11918738687023,2,"lhat[77,1,1,3]",0.616725461358261,0.327066079009049,1.0703125440726,1991
