V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
105.9717966,55.82993346,31.70557151,9.472322409,6.802075511,1.490582194,1.636582808,1.296081525,1.490421678,2.175349246,1.599849534,1.721423119,1.623614209,1.595878653,1.584056843,1.550905552,173.3547848,86.89525665,39.10515375,11.3541987,3.747774985,1.676293669,1.748610838,0.419880358,282.3178223,110.1299563,50.19990156,9.866463688,5.256333986,4.117158655,1.928770517,2.050719848
115.526371,64.82309686,31.99371036,8.498835215,3.522801899,2.849790447,2.291108887,0.422022595,3.911196114,2.994814259,1.996706376,1.603887266,1.720648551,1.629906759,1.62167399,1.575880059,169.9939363,73.29091738,39.34586205,11.70938154,3.477376755,1.942823729,2.027452026,0.518276137,226.2666113,144.6040834,53.79342375,14.4992117,5.411867656,3.514753394,0.502158008,2.005381177
80.19236394,64.02390506,35.11304404,7.244691103,3.329636409,1.734215152,1.336437642,1.557601215,3.092801692,2.025046468,2.105437649,1.633125309,1.635882588,1.689749659,1.566545468,1.520213412,160.3854014,93.91790072,43.41374611,9.759605453,4.57329559,2.187412778,1.859354616,1.036964525,300.8255263,129.2924874,47.00603865,14.22868109,7.120087659,4.177447305,1.70732648,0.400139168
113.7013688,58.33814548,31.43729939,11.68742737,6.057734723,0.647423041,1.418186728,1.570022078,3.397186923,0.752995073,2.010781754,1.645856669,1.609867332,1.522002441,1.600153636,1.593533455,184.4903858,80.54369382,42.64426985,9.385034033,4.378129816,2.098159125,1.371726125,1.145352587,252.9043218,110.3496697,65.35094008,12.13199987,9.458269133,3.359052251,1.851403126,0.734953775
92.08771279,50.91465971,26.21408818,10.32113852,5.410520019,3.075374114,3.259744048,0.811370499,3.265284785,3.231506615,2.182698478,1.569621347,1.665316407,1.597643664,1.592008056,1.545715669,202.6878181,81.68004304,32.54221493,11.01862541,5.517741849,3.302775592,2.529814707,0.60509431,201.1714926,116.236444,67.3378547,10.69397675,6.146817306,1.628537474,2.316765089,0.817918133
106.850395,41.97271484,29.81730078,11.40246962,3.156273594,1.740781054,2.080452736,1.17241252,3.885286437,0.565748934,2.193145816,1.585622416,1.62351371,1.67438446,1.606082931,1.503863338,149.7861861,107.6928802,42.25444739,10.45241303,3.670250426,1.133391499,1.268859685,0.59405557,335.187334,109.7512434,50.66459673,18.66017539,5.191137814,2.70369425,1.079972104,0.144006915
114.7491129,71.14762126,32.80304204,9.271296734,4.107360001,1.325595247,1.900345854,0.41484588,3.043310151,1.701704811,2.029284361,1.648961353,1.60913643,1.654521238,1.529961956,1.586502711,202.4137204,87.22163099,40.53417011,11.57809539,6.484243512,1.821997703,0.687424283,0.683672987,278.662167,110.0896584,44.12989334,19.65162021,3.57730447,0.935867607,1.136876367,0.80345901
97.91957003,61.90551411,29.97208038,11.12489795,3.927315407,1.202461624,0.422184706,1.077631551,2.233383797,3.181620325,2.106382494,1.616207366,1.529617573,1.561172392,1.513716299,1.601673723,152.0467435,91.64289096,40.43404071,9.465647609,2.206637829,2.478422713,2.129890437,1.061913168,264.5407389,92.50167325,49.4291621,15.85249512,5.108608094,3.727913733,4.487072762,1.217184054
100.41345,56.82436032,27.76904311,11.52594248,2.339758631,3.054085403,2.817732929,1.652601493,1.892534184,1.736207147,1.967299788,1.626357251,1.597316972,1.597993548,1.53315835,1.579290594,170.0748557,83.92210962,44.27729392,10.85829017,4.722814281,1.421109124,1.722858233,0.724326876,251.0766985,133.2006619,63.07922982,9.661409934,4.951795627,1.964438773,3.705996074,1.175731646
91.01608267,45.63759468,32.62513507,11.99471235,1.672048799,1.716643176,1.716611478,1.213091418,1.195417554,0.644412471,1.777510213,1.766493497,1.651162132,1.560983309,1.599372646,1.582172101,147.1151392,100.5522937,37.13063494,12.66798341,1.750843786,1.97704064,1.839572803,0.847271291,172.7557921,74.625208,60.37840795,16.77285281,4.314871314,2.137052219,4.335261686,0.277740109
