p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
224187659.485059,436026392.068538,552073240.87933,677263405.616045,808717174.760148,556502070.331246,841005685.750285,974429568.21592,240206424.003024,454185758.691865
224187659.485059,325286095.638893,552073240.87933,677263405.616045,808717174.760148,545075481.808764,836530772.193192,974429568.21592,236931634.919588,454185758.691865
224187659.485059,325286095.638893,552073240.87933,677263405.616045,796169511.337094,545075481.808764,836530772.193192,968655544.077002,236931634.919588,451676161.481722
224187659.485059,325286095.638893,552073240.87933,677263405.616045,796169511.337094,545075481.808764,779853626.962297,968655544.077002,236931634.919588,427799215.286843
224094878.61464,325286095.638893,532672770.569153,673206852.626736,796169511.337094,539525548.071486,779853626.962297,968655544.077002,236773424.161698,427799215.286843
224094878.61464,325286095.638893,532672770.569153,673206852.626736,741888744.848163,539124792.264543,742886556.828356,946405988.417165,236773424.161698,427799215.286843
215589930.066896,325185681.091043,481748398.124422,673206852.626736,741888744.848163,499541316.992554,742886556.828356,946405988.417165,236745999.936849,426105883.464768
215344158.575562,325185681.091043,446550655.135295,637869143.440586,741888744.848163,498021829.023186,737746453.588837,946405988.417165,236745999.936849,426105883.464768
215344158.575562,325185681.091043,446550655.135295,628826958.111152,740668533.477736,498021829.023186,737275479.268895,946405988.417165,236745999.936849,426105883.464768
212467319.223535,325174060.390161,446016751.380344,628826958.111152,740642244.976269,498021829.023186,735689862.949595,946405988.417165,236139724.261801,426105883.464768
212467319.223535,320927007.444895,446016751.380344,628826958.111152,740642244.976269,498021829.023186,735689862.949595,946405988.417165,236139724.261801,426105883.464768
212467319.223535,312807539.211531,446016751.380344,628826958.111152,740642244.976269,496970050.460177,735616618.208777,946405988.417165,236139724.261801,426097964.365673
212467319.223535,312788216.665195,446016751.380344,502145023.438048,740642244.976269,496970050.460177,735616618.208777,946405988.417165,236139724.261801,426097964.365673
212402141.909315,305943442.773129,445685940.848583,502142793.666962,740642244.976269,496944347.460487,735441989.623699,946405988.417165,236118402.80182,426097964.365673
212379477.367758,305943442.773129,445685940.848583,500478187.034223,738525665.888461,496944347.460487,735441989.623699,946405988.417165,235671887.885187,426097964.365673
210593082.267661,305943442.773129,445685940.848583,500478187.034223,738525665.888461,496944347.460487,735441989.623699,796158719.162939,235671887.885187,388866593.994758
210593082.267661,305943442.773129,445685940.848583,500478187.034223,689184444.498648,496944347.460487,734594875.947023,796158719.162939,235590632.535633,388866593.994758
210593082.267661,305939367.088688,445685940.848583,499815210.703476,526597144.776385,496748073.761826,733745921.121743,796158719.162939,235590632.535633,388866593.994758
210345810.367253,305905976.658125,435543762.244541,471673336.538181,526597144.776385,494393361.727384,733745921.121743,796158719.162939,221716171.282338,388866593.994758
210345810.367253,305877430.147165,435543762.244541,471673336.538181,510923382.458733,427609436.83082,646206138.406184,796158719.162939,196974263.51241,388857161.949868
149129122.359364,305877430.147165,391630324.808031,471464614.711097,510923382.458733,427609436.83082,629288467.514523,795467598.396122,196972116.943642,388497674.517141
149129122.359364,305877430.147165,391630324.808031,471464614.711097,510690868.639457,401813536.470738,629288467.514523,795467598.396122,196972116.943642,362282721.293214
148837303.878082,305803985.224214,391630324.808031,471464614.711097,510690868.639457,401715377.11202,629270718.321171,795467598.396122,196972116.943642,362282721.293214
142171509.92218,305803985.224214,391630324.808031,471464614.711097,510690868.639457,401715377.11202,629270718.321171,795036071.003325,196972116.943642,343073029.213913
