p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1603794.53539774,2137346.96269144,4098611.61205557,5890249.67248781,3803844.10950335,1761487.67788871,5412013.84694156,10404142.3259269,1411640.21727197,2444984.71837266
1603794.53539774,2137346.96269144,4098611.61205557,5841907.43701643,3803844.10950335,1761487.67788871,5412013.84694156,10404142.3259269,1411640.21727197,2438837.1016522
1386614.14105834,2137346.96269144,4061350.55375132,5787563.69374777,3803844.10950335,1761487.67788871,5412013.84694156,10404142.3259269,1398108.81073345,2438837.1016522
1386614.14105834,2126018.72250177,4061350.55375132,5597260.35818728,3803844.10950335,1759776.22166333,5412013.84694156,10404142.3259269,1390169.68058012,2434423.85384493
1386614.14105834,2124738.368673,4050327.84999222,4010287.91842498,3803844.10950335,1759776.22166333,5412013.84694156,10404142.3259269,1390169.68058012,2429109.51465141
1386614.14105834,2119278.18413713,4050327.84999222,3993776.6445085,3803844.10950335,1711240.84215435,5412013.84694156,9194467.43008615,1388571.96838528,1653687.50043403
1385306.33959155,2119278.18413713,4050327.84999222,3993776.6445085,3803844.10950335,1711240.84215435,5412013.84694156,9194467.43008615,1388571.96838528,1653687.50043403
1385306.33959155,1955813.11506541,2733599.862048,2911604.84559403,3765785.69556674,1711240.84215435,5354803.59142343,9194467.43008615,1387176.17675019,1653687.50043403
1376506.69984661,1955478.7234536,2729155.60663461,2874980.26051489,3765785.69556674,1711240.84215435,5354803.59142343,9109145.69953317,1311804.77970884,1653687.50043403
1376506.69984661,1925776.63849312,2679588.7066689,2874980.26051489,3765785.69556674,1711240.84215435,3670024.21825748,8905087.13345769,1311360.82141127,1653687.50043403
1376506.69984661,1925776.63849312,2645416.46013775,2874980.26051489,3765785.69556674,1711240.84215435,3670024.21825748,8905087.13345769,1311360.82141127,1653687.50043403
1376506.69984661,1925776.63849312,2645416.46013775,2874980.26051489,3765785.69556674,1711240.84215435,3670024.21825748,8905087.13345769,1311360.82141127,1653687.50043403
1376506.69984661,1925776.63849312,2643431.08938456,2874980.26051489,3765785.69556674,1711240.84215435,3670024.21825748,8905087.13345769,1311360.82141127,1653687.50043403
1368672.29650938,1925776.63849312,2643431.08938456,2874980.26051489,3727758.1861739,1711240.84215435,3667535.13836014,8905087.13345769,1311360.82141127,1652936.75068738
1368672.29650938,1925776.63849312,2643431.08938456,2874980.26051489,3727758.1861739,1711240.84215435,3667535.13836014,8905087.13345769,1311360.82141127,1652936.75068738
1368672.29650938,1925776.63849312,2643431.08938456,2874980.26051489,3727758.1861739,1658820.49788904,3661271.21356909,8905087.13345769,1311002.9980443,1652936.75068738
1368672.29650938,1925776.63849312,2643431.08938456,2874980.26051489,3725556.21453312,1658820.49788904,3307765.7401176,5945068.51685328,1311002.9980443,1652936.75068738
892331.296228654,1924725.95547527,2643431.08938456,2874980.26051489,3724955.78225219,1658820.49788904,3111795.81457227,5945068.51685328,1311002.9980443,1652936.75068738
892331.296228654,1639995.42537325,2621914.36971626,2874980.26051489,3724955.78225219,1643620.65945467,3111795.81457227,4257681.15728328,1310659.78790013,1652936.75068738
892331.296228654,1639995.42537325,2621914.36971626,2874980.26051489,2026901.59277959,1643563.61341273,3111795.81457227,4257681.15728328,1310659.78790013,1410770.28706116
889279.630792546,1629283.51166365,2599196.90337627,2874980.26051489,2020999.11398326,1643563.61341273,2852822.93801236,4257681.15728328,1310659.78790013,1410770.28706116
889279.630792546,1629283.51166365,2599196.90337627,2870109.11875317,2020999.11398326,1643563.61341273,2852822.93801236,4257681.15728328,1206379.87809098,1409126.63851696
876320.242548007,1629283.51166365,2599196.90337627,2870109.11875317,2020999.11398326,1641127.09549871,2852822.93801236,4221405.19728093,1206379.87809098,1409126.63851696
876320.242548007,1629283.51166365,2599196.90337627,2870109.11875317,2019921.30184414,1641127.09549871,2845919.42689628,4221405.19728093,1206379.87809098,1409126.63851696
876320.242548007,1604776.04159364,2072270.69639072,2870109.11875317,2019565.95959778,1639716.04222503,2845919.42689628,4215799.84752921,1206379.87809098,1409126.63851696
876320.242548007,1604776.04159364,2072270.69639072,2529765.15335729,1917835.17213651,1639716.04222503,1282278.02049203,4206892.09255356,1206379.87809098,1361816.11285043
876320.242548007,1604776.04159364,1811543.17489935,2483307.85486115,1917835.17213651,1639716.04222503,1282278.02049203,4206892.09255356,1206379.87809098,1361816.11285043
871179.14503752,1314288.01069812,1799597.06593843,2462250.39930624,1917835.17213651,1639716.04222503,1282278.02049203,4205748.80593986,1205443.72258168,1361816.11285043
