"","time","s0","i0","s1","i1","race","scenario","I","scen","waifw","scen_waifw"
"131",28,0.700842841182053,0.299157158725372,1.5212308368196e-09,-1.52073621006375e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.299157157204635,"1","Assortative","Treatment - Assortative"
"132",29,0.698300383493609,0.301699616416458,-6.53569285598093e-10,6.53385722371118e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.301699617069843,"1","Assortative","Treatment - Assortative"
"133",30,0.695734336946705,0.304265662965311,-6.7276442015923e-10,6.72613189653885e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.304265663637924,"1","Assortative","Treatment - Assortative"
"134",31,0.693145839042015,0.306854160871801,3.37127024140809e-10,-3.37081075341221e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.306854160534719,"1","Assortative","Treatment - Assortative"
"135",32,0.690536050053757,0.30946394986247,-1.99130429628025e-09,1.99095078446241e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.309463951853421,"1","Assortative","Treatment - Assortative"
"136",33,0.687906135663869,0.312093864253389,9.87985081087494e-10,-9.87346510444768e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.312093863266042,"1","Assortative","Treatment - Assortative"
"137",34,0.685257296780479,0.31474270314004,-3.7643009375646e-10,3.75840083696004e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.31474270351588,"1","Assortative","Treatment - Assortative"
"138",35,0.682590733290046,0.31740926662955,3.49580616123354e-10,-3.47209756459589e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.317409266282341,"1","Assortative","Treatment - Assortative"
"139",36,0.679907668632974,0.320092331307007,-1.07536244481524e-09,1.05939140197483e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.320092332366399,"1","Assortative","Treatment - Assortative"
"140",37,0.677209327249253,0.32279067265558,5.61098980856546e-10,-5.39877677017013e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.322790672115703,"1","Assortative","Treatment - Assortative"
"141",38,0.674496953180292,0.325503046836807,-1.24535021292046e-09,1.15634779732593e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.325503047993155,"1","Assortative","Treatment - Assortative"
"142",39,0.671771782059389,0.328228217774035,6.80372991044247e-10,-5.83662507243562e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.328228217190372,"1","Assortative","Treatment - Assortative"
"143",40,0.669035066291183,0.330964933768808,-5.54330043996347e-10,4.26503177244614e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.330964934195312,"1","Assortative","Treatment - Assortative"
"144",41,0.666288046382864,0.333711953438163,3.12518773348895e-10,-1.99361601469104e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.333711953238802,"1","Assortative","Treatment - Assortative"
"145",42,0.663531969839639,0.336468030309698,-4.68300831485087e-10,2.55155881828694e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.336468030564854,"1","Assortative","Treatment - Assortative"
"146",43,0.660768073130506,0.339231926636371,3.15874537577495e-10,-1.44568473781623e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.339231926491802,"1","Assortative","Treatment - Assortative"
